k,lambda,tau,precision,recall,final_train_rmse,final_test_rmse,final_loss
2,0.1,0.05,0,0,0.7873183271,0.8157073482,1591695
2,0.1,0.1,0,0,0.7865092213,0.8138863407,1594578.2
2,0.1,0.25,0.00821320818,0.001528794065,0.7884455592,0.8134812671,1615596.6
2,0.5,0.05,0,0,0.7850920821,0.8158256804,7881708.5
2,0.5,0.1,0,0,0.7855402231,0.8154310851,7900250.5
2,0.5,0.25,0,0,0.7857802601,0.8145328897,7928436
10,0.1,0.05,0.00281595709,0.001824514326,0.6959314598,0.7924291136,1260735
10,0.1,0.1,0.01585652028,0.00981944672,0.6979832181,0.7877155249,1278652.2
10,0.1,0.25,0.04301039222,0.02572642117,0.7020018881,0.7827557786,1313304.8
10,0.5,0.05,0,0,0.6939634981,0.804700583,6193691
10,0.5,0.1,3.35E-05,4.59E-06,0.6948416349,0.7994783499,6235339.5
10,0.5,0.25,0.00231310761,0.001264309469,0.6956693549,0.7918706724,6299058
50,0.1,0.05,0.004250754274,0.008459583003,0.5301683151,0.9040870256,771182.1
50,0.1,0.1,0.01185383842,0.02837935679,0.5341839717,0.8833627622,800675.9
50,0.1,0.25,0.02581293999,0.07132529267,0.544619322,0.8574498475,867596.2
50,0.5,0.05,0.0001407978545,0.0001822643817,0.5278386118,0.9645343397,3701014.5
50,0.5,0.1,0.0006235333557,0.0008940695346,0.5281882526,0.9359903794,3747808.2
50,0.5,0.25,0.004344619511,0.008450851826,0.5302533297,0.9040430396,3857541
100,0.1,0.05,0.004270868253,0.02111393723,0.4176314991,0.9967021986,508218.9
100,0.1,0.1,0.01012738854,0.05774672062,0.4224565833,0.9667440995,541597.7
100,0.1,0.25,0.01985249749,0.1149079444,0.4360817801,0.9304241254,622500.44
100,0.5,0.05,0.0003318806571,0.0007725304639,0.4157436126,1.073334307,2383868.8
100,0.5,0.1,0.0009261744966,0.003123856523,0.4156854984,1.03765653,2428407.5
100,0.5,0.25,0.004305369128,0.02166851642,0.417624446,0.995218224,2541285.5
